"Id","Label","Degree","Betweenness","Expression"
"4040","LRP6",21,81285.54,0.45838
"79745","CLIP4",21,58688.14,0.50598
"2752","GLUL",21,43637.97,0.66594
"5684","PSMA3",21,37500.34,0
"1870","E2F2",21,34812.44,0.54066
"6714","SRC",21,34596.77,0
"5471","PPAT",21,31341.94,0.50224
"4502","MT2A",21,25583.47,0.85241
"84844","PHF5A",21,19632.29,0.85461
"103","ADAR",21,14343.92,0.56832
"7414","VCL",21,11025.01,0
"9475","ROCK2",20,47136.08,0.72192
"117177","RAB3IP",20,39067.86,0.39224
"2043","EPHA4",20,37774.78,0.43437
"51258","MRPL51",20,33624.02,1.2227
"26127","FGFR1OP2",20,29575.75,0.65983
"4087","SMAD2",20,28083.17,0
"5510","PPP1R7",20,27026.62,0.55193
"22926","ATF6",20,26212.84,0.50936
"80143","SIKE1",20,24486.85,0.41566
"23613","ZMYND8",20,22967.23,0.56808
"4023","LPL",20,21893.9,0.41375
"26985","AP3M1",20,20569.08,0.40904
"23708","GSPT2",20,18066.41,0.42564
"5499","PPP1CA",20,11884.17,0
"7468","WHSC1",20,8164.16,0
"7014","TERF2",20,6485.75,0
"694","BTG1",19,29020.85,0.81844
"408","ARRB1",19,26619.87,0
"4790","NFKB1",19,26065.05,0
"90","ACVR1",19,25796.72,0.47429
"10613","ERLIN1",19,23069.62,0.66149
"55229","PANK4",19,21538.87,0.4823
"367","AR",19,21423.16,0
"5300","PIN1",19,20800.56,0
"7042","TGFB2",19,19844.01,-0.60313
"1915","EEF1A1",19,19794.46,0
"23524","SRRM2",19,18235.58,0
"5829","PXN",19,18091.34,0
"2353","FOS",19,16916.24,0
"10849","CD3EAP",19,16641.4,0.44287
"8878","SQSTM1",19,14287.62,0
"7329","UBE2I",19,13488.26,0
"808","CALM3",19,7490.38,0
"3178","HNRNPA1",19,7425.52,0
"54543","TOMM7",18,41239.62,0.7667
"900","CCNG1",18,34190.91,-0.43607
"3339","HSPG2",18,30293.46,0.41536
"25","ABL1",18,30098.68,0
"2130","EWSR1",18,29883.36,0
"207","AKT1",18,28603.48,0
"6731","SRP72",18,26847.62,0.61758
"5213","PFKM",18,23810.9,0.57168
"11176","BAZ2A",18,22374.99,0.61714
"51202","DDX47",18,20781.18,0.82751
"8650","NUMB",18,20771.43,0.48018
"3309","HSPA5",18,20082.6,0
"1387","CREBBP",18,15679.88,0
"6772","STAT1",18,14613.3,0
"389","RHOC",18,14498.37,1.2389
"3609","ILF3",18,14174.94,0
"79833","GEMIN6",18,12335.24,0.45842
"3312","HSPA8",18,11107.35,0
"3611","ILK",18,8706.18,0
"84950","PRPF38A",18,8664.09,0.50018
"1728","NQO1",18,8654.69,1.2456
"3123","HLA-DRB1",18,7990.04,1.5344
"5832","ALDH18A1",18,7513.11,0.71133
"54165","DCUN1D1",18,7370.57,0
"10627","MYL12A",18,7055.59,0
"3396","ICT1",18,6008.2,0
"22976","PAXIP1",18,5842.75,0
"6461","SHB",18,3039.03,0.38914
"3710","ITPR3",17,36463.22,0.72054
"867","CBL",17,33886.29,0
"1385","CREB1",17,30037.63,0
"10618","TGOLN2",17,24312.53,1.0869
"87178","PNPT1",17,21332.35,0.46095
"1793","DOCK1",17,18445.58,0.50319
"8099","CDK2AP1",17,16892.75,0.5003
"5430","POLR2A",17,16762.49,0
"55052","MRPL20",17,16450.51,0.87415
"2805","GOT1",17,12270.98,0.70046
"91408","BTF3L4",17,11508.79,0.45393
"9775","EIF4A3",17,9925.23,0
"5597","MAPK6",17,9814.46,0
"57542","KLHDC5",17,9360.7,0.50408
"1398","CRK",17,9340.71,0
"9656","MDC1",17,8894.46,0
"6927","HNF1A",17,8469.06,0
"1660","DHX9",17,6419.91,0
"54331","GNG2",16,43917.99,0.64508
"1213","CLTC",16,40581.61,0
"9404","LPXN",16,38060.34,0.78613
"10236","HNRNPR",16,38010.99,0
"3304","HSPA1A",16,37763.27,0
"6774","STAT3",16,35828.2,0
"54536","EXOC6",16,34868.85,0.43176
"51421","AMOTL2",16,31285.72,0.47795
"1282","COL4A1",16,31086.5,0.61289
"90627","STARD13",16,29177.85,0.7705
"55971","BAIAP2L1",16,28801.85,0.42748
"6382","SDC1",16,28010.67,0.44891
"4869","NPM1",16,27091.41,0
"7528","YY1",16,26092.43,0
"1655","DDX5",16,24294.33,0
"4851","NOTCH1",16,23431.91,0
"6300","MAPK12",16,23058.11,0.46804
"10155","TRIM28",16,22553.04,0
"91107","TRIM47",16,20488.53,0.42549
"4792","NFKBIA",16,17648.61,0
"6421","SFPQ",16,16185.43,0
"142","PARP1",16,15455.28,0
"6241","RRM2",16,15332.18,0.64207
"84271","POLDIP3",16,13139.98,0.62274
"3175","ONECUT1",16,12947.26,0
"253714","MMS22L",16,12897.15,0.57232
"26986","PABPC1",16,12370.67,0
"57695","USP37",16,10265.2,0.44655
"7326","UBE2G1",16,9980.57,0.47335
"9611","NCOR1",16,9722.34,0
"9360","PPIG",16,9705.79,0.54134
"3688","ITGB1",16,9184.44,0
"2697","GJA1",16,9125.55,0
"64759","TNS3",16,7602.1,0.61383
"800","CALD1",16,7488.48,0.50566
"2869","GRK5",16,7419.44,0
"3692","EIF6",16,6768.79,0
"56257","MEPCE",16,6519.44,0
"30836","DNTTIP2",16,6396.3,0.39399
"8451","CUL4A",16,3623.06,0
"6285","S100B",16,3347.12,0.86687
"25915","NDUFAF3",15,36118.08,0.72105
"6310","ATXN1",15,35774.75,0
"10640","EXOC5",15,35587.9,-0.43074
"3075","CFH",15,29323.06,-0.60638
"23410","SIRT3",15,28545.87,0
"10274","STAG1",15,26124.06,0.41109
"5293","PIK3CD",15,24307.53,0.40289
"1026","CDKN1A",15,16780.51,0
"3308","HSPA4",15,16347.26,0
"4089","SMAD4",15,15230.27,0
"5747","PTK2",15,15047.58,0
"5925","RB1",15,14213.35,0
"5631","PRPS1",15,12960.66,0.46292
"51517","NCKIPSD",15,12524.14,0.39026
"3217","HOXB7",15,11471.87,0.5537
"708","C1QBP",15,11370.05,0
"2932","GSK3B",15,9688.49,0
"120892","LRRK2",15,9144.35,0
"9657","IQCB1",15,6492.31,0
"10289","EIF1B",15,5907.58,0
"6606","SMN1",15,5823.19,0
"4670","HNRNPM",15,5549.38,0
"5335","PLCG1",15,5247.39,0
"25913","POT1",15,4827.47,0
"5603","MAPK13",15,4105.94,0
"8175","SF3A2",15,3393.19,0
"51112","TRAPPC12",14,50643.97,0.63878
"58494","JAM2",14,35446.48,0.43884
"5515","PPP2CA",14,23964.55,0
"29072","SETD2",14,18478.49,0.41105
"8925","HERC1",14,18263.76,0.40314
"57019","CIAPIN1",14,16409.53,0.77947
"10397","NDRG1",14,15297.33,0
"342538","NACA2",14,13287.93,0.58635
"3183","HNRNPC",14,12904.35,0
